orchestrators,approach,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
k3s-rke,dind,17448,17502,17288,17252,18204,15862,16567,17458,18193,15967,16457,17036,16900,17101,18483,17238,16708,16999,18522,16364,17365,17157,16380,16822,17654,17263,18140,17794,17650,17148
,ff,22755,21365,22572,20958,21968,20909,21902,21254,22646,22020,20530,21966,21499,22873,20650,22505,21183,22463,20519,22352,21667,22582,20791,22250,21253,22456,21151,22931,20748,22485
minishift-rke,dind,17440,16078,17654,17629,16983,17786,16455,17628,16395,17560,16719,17841,16566,17789,17240,17468,16769,17831,17055,18355,17314,17923,18164,17516,18139,19023,18615,17035,18723,17063
,ff,21809,20898,21678,21066,22606,21219,21884,21495,22433,21584,22549,21074,21862,21419,22325,21929,22013,21077,21993,21337,21085,22001,21200,22547,20982,22141,21058,22415,21593,22481
mesos-rke,dind,17415,18082,19701,19317,18308,18089,16993,17128,18071,17776,17186,18966,18107,18110,18073,17839,16309,18255,16638,18464,16745,16441,17914,16586,16408,18088,17931,16734,16572,18731
,ff,20714,21060,20903,20990,21017,20817,20209,20271,20274,20221,20965,20953,20177,20241,21179,20211,20140,20241,19855,21130,20239,20206,20267,20165,20227,20963,20198,21035,20223,20269
